UserMonthYear,Target
ID_000VV0KM_1_4,0.015925817425112565
ID_000VV0KM_2_4,0.016568988810714114
ID_000VV0KM_3_4,0.011562852866801698
ID_003OCIYO_1_4,0.33048071176283256
ID_003OCIYO_2_4,0.01773320238678333
ID_003OCIYO_3_4,0.00955746770878052
ID_004U5SFS_1_4,0.009173860315367932
ID_004U5SFS_2_4,0.010404876316483569
ID_004U5SFS_3_4,0.011616553450487177
ID_009C2VCA_2_4,0.37374363684352174
ID_009C2VCA_3_4,0.02524111556188391
ID_00DSIDR2_1_4,0.0094447934373324
ID_00DSIDR2_2_4,0.006065179996557868
ID_00DSIDR2_3_4,0.0057135954527955946
ID_00HKNVC0_1_4,0.7206776066407765
ID_00HKNVC0_2_4,0.5807671188956374
ID_00HKNVC0_3_4,0.3239288652474912
ID_00JGV37M_1_4,0.008707443368707213
ID_00JGV37M_2_4,0.007649618523443036
ID_00JGV37M_3_4,0.007079964251907822
ID_00K4HGI8_2_4,0.6189330883227411
ID_00K4HGI8_3_4,0.030032920496127824
ID_00MLZEPL_1_4,0.010340975620033332
ID_00MLZEPL_2_4,0.010649698370816418
ID_00MLZEPL_3_4,0.00854519550723365
ID_00N1HX6H_1_4,0.08007938016789051
ID_00N1HX6H_2_4,0.05590564159419953
ID_00N1HX6H_3_4,0.03951576621451769
ID_00QSUS04_1_4,0.02418413335096492
ID_00QSUS04_2_4,0.0645592574783137
ID_00QSUS04_3_4,0.07343333973585264
ID_00UTP3DB_1_4,0.010271505517484236
ID_00UTP3DB_2_4,0.010874209440082772
ID_00UTP3DB_3_4,0.009351510567636279
ID_00W1WG4W_1_4,0.01816863229461385
ID_00W1WG4W_2_4,0.018346675041227112
ID_00W1WG4W_3_4,0.015710779085354454
ID_00WD4BRD_1_4,0.06913725504967627
ID_00WD4BRD_2_4,0.06599733182217804
ID_00WD4BRD_3_4,0.054934470726537676
ID_00WGD6K3_1_4,0.005649694138312178
ID_00WGD6K3_2_4,0.005742203224300302
ID_00WGD6K3_3_4,0.005138005695869641
ID_00WS8ZNE_1_4,0.06937010215796102
ID_00WS8ZNE_2_4,0.06553947588283371
ID_00WS8ZNE_3_4,0.05832628332814038
ID_00X4XX40_1_4,0.020181116064825422
ID_00X4XX40_2_4,0.009606562301559318
ID_00X4XX40_3_4,0.005721410270761451
ID_010L2E6S_1_4,0.01643303264765139
ID_010L2E6S_2_4,0.009954671214389643
ID_010L2E6S_3_4,0.00583968966919346
ID_012FOXHD_1_4,0.05308256936504896
ID_012FOXHD_2_4,0.059029066573340394
ID_012FOXHD_3_4,0.04635685147550128
ID_012O9LT5_1_4,0.010731756494031242
ID_012O9LT5_2_4,0.011170579049803453
ID_012O9LT5_3_4,0.009786863054418005
